"Patent ID","Annotation Reference","Chemical ID","SMILES","Type","Chemical Document Count","Annotation Document Count","Title Count","Abstract Count","Claims Count","Description Count","Chemical Corpus Count","Annotation Corpus Count","Molecular Weight","Med Chem Alert","Log P","Donor Count","Acceptor Count","Ring Count","Rotatable Bound Count","Radical","Fragment","Connected","Singleton","Simple","Lipinski","Lead Likeness","Bio Availability"
"US-20110009367-A1","US20110009367A1-20110113-C00308.MOL","12823089","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N(C)CC(O)CN(C)C","MOLATTACHMENT","0","","","","","","6","","520.64501953125","0","0.5596950054168701","2","8","3","11","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00187.TIF","12823770","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N(CC)CC(CC)(CO)CO","IMAGE","0","","","","","","7","","535.656005859375","0","0.7667739987373352","3","8","3","12","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00451.MOL","12070","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N(CC)CC","MOLATTACHMENT","2","","","","","","76","","447.5509948730469","0","1.6182500123977661","1","6","3","8","0","0","1","0","0","1","1","1"
"US-20110009367-A1","US20110009367A1-20110113-C00047_3.MOL","972561","CCOC1=CC=CC=C1C1=NN2C(C)=NC(C)=C2C(=O)N1","MOLATTACHMENT","2","","","","","","47","","284.31298828125","0","0.7061489820480347","1","4","3","3","0","0","1","0","0","1","1","1"
"US-20110009367-A1","US20110009367A1-20110113-C00246.MOL","12823122","CCCN(CCO)CC1=CC=C(NS(=O)(=O)C2=CC(=C(OCC)C=C2)C2=NN3C(CCC)=NC(C)=C3C(=O)N2)C=C1","MOLATTACHMENT","0","","","","","","9","","582.7139892578125","0","1.1783299446105957","3","8","4","13","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00293.TIF","12823078","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC2=CC=CC=C2)CC1","IMAGE","0","","","","","","7","","564.698974609375","0","3.176759958267212","1","7","5","9","0","0","1","0","0","0","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00350.MOL","973032","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N(CC)CCO","MOLATTACHMENT","2","","","","","","57","","463.54998779296875","0","0.5713419914245605","2","7","3","9","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00118.MOL","12922523","CCCC[N+]1=NO\C([CH-]1)=N\S(=O)(=O)C1=CC(=C(OCC)C=C1)C1=NN2C(CCC)=NC(C)=C2C(=O)N1","MOLATTACHMENT","0","","","","","","4","","515.5850219726562","0","-0.584447979927063","1","8","4","9","0","0","1","0","0","0","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00255.TIF","12823777","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NCCCN(C)CC1=CC=CC=C1","IMAGE","0","","","","","","9","","552.68798828125","0","1.9079899787902832","2","7","4","12","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00247.TIF","12823314","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NC1=CC=C(CN2CCN(CC2)C(=O)OCC)C=C1","IMAGE","0","","","","","","9","","637.75","0","2.0975899696350098","2","8","5","11","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00291.MOL","12823115","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N(C)CCN(C)C","MOLATTACHMENT","0","","","","","","6","","490.6189880371094","0","1.4563900232315063","1","7","3","10","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00312.MOL","12823609","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N(CC)CCN(C)C","MOLATTACHMENT","0","","","","","","6","","504.6449890136719","0","1.8133200407028198","1","7","3","11","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00398.MOL","12824087","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NC1=CC=C(OC(C)C)C(OC)=C1","MOLATTACHMENT","0","","","","","","7","","555.64599609375","0","2.7969601154327393","2","8","4","10","0","0","1","0","0","0","0","1"
